;Minsupport Relativ;6%
;Minsupport Absolut;30.00
Regel;;Name: ;angenehmes Tempo; Id: ;0; Support: ;50;relativer Support;10%
Regel;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;80;relativer Support;16%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;282;relativer Support;56.4%
Regel;;Name: ;Arbeitsmaterialien (Skript. Lehrbuch); Id: ;3; Support: ;102;relativer Support;20.4%
Regel;;Name: ;Diskussionen in Präsenzlehre; Id: ;4; Support: ;53;relativer Support;10.6%
Regel;;Name: ;eigenes Interesse am Thema; Id: ;5; Support: ;33;relativer Support;6.6%
Regel;;Name: ;Engagement des Dozenten; Id: ;7; Support: ;46;relativer Support;9.2%
Regel;;Name: ;Erreichbarkeit des Dozenten; Id: ;8; Support: ;30;relativer Support;6%
Regel;;Name: ;Fachkompetenz des Dozenten; Id: ;9; Support: ;35;relativer Support;7%
Regel;;Name: ;Humor des Dozenten; Id: ;11; Support: ;36;relativer Support;7.2%
Regel;;Name: ;Kommunikation mit Dozenten; Id: ;13; Support: ;155;relativer Support;31%
Regel;;Name: ;Lockerheit des Dozenten; Id: ;14; Support: ;66;relativer Support;13.2%
Regel;;Name: ;logischer Aufbau der Lehrveranstaltung; Id: ;15; Support: ;31;relativer Support;6.2%
Regel;;Name: ;Offenheit des Dozenten für Studierende; Id: ;16; Support: ;106;relativer Support;21.2%
Regel;;Name: ;Partizipation / Mitsprache der Studierenden; Id: ;17; Support: ;45;relativer Support;9%
Regel;;Name: ;Prüfungsvorbereitung / -schwerpunkte; Id: ;18; Support: ;31;relativer Support;6.2%
Regel;;Name: ;Selbststudium; Id: ;20; Support: ;158;relativer Support;31.6%
Regel;;Name: ;strukturiertes Skript; Id: ;21; Support: ;52;relativer Support;10.4%
Regel;;Name: ;sympathisches Auftreten des Dozenten; Id: ;22; Support: ;70;relativer Support;14%
Regel;;Name: ;Teilnahme am Praktikum; Id: ;23; Support: ;107;relativer Support;21.4%
Regel;;Name: ;Teilnahme am Tutorium; Id: ;24; Support: ;72;relativer Support;14.4%
Regel;;Name: ;Teilnahme an Übung (Veranstaltungsform); Id: ;25; Support: ;40;relativer Support;8%
Regel;;Name: ;Teilnahme an Vorlesung; Id: ;26; Support: ;33;relativer Support;6.6%
Regel;;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;240;relativer Support;48%
Regel;;Name: ;verständliche Erklärungen; Id: ;29; Support: ;155;relativer Support;31%
Regel;;Name: ;Visualisierungen; Id: ;30; Support: ;143;relativer Support;28.6%
Regel;;Name: ;Zusammenfassungen und Wiederholungen; Id: ;31; Support: ;91;relativer Support;18.2%
Regel;;Name: ;Ablenkung durch Lautstärke der Kommilitonen; Id: ;33; Support: ;64;relativer Support;12.8%
Regel;;Name: ;Ausfall von Lehrveranstaltungen; Id: ;35; Support: ;32;relativer Support;6.4%
Regel;;Name: ;Demotivierung / Einschüchterung der Studierenden; Id: ;36; Support: ;46;relativer Support;9.2%
Regel;;Name: ;fehlende / mangelnde Anwendung und Praxis; Id: ;37; Support: ;83;relativer Support;16.6%
Regel;;Name: ;fehlende / unverständliche Erklärungen; Id: ;38; Support: ;115;relativer Support;23%
Regel;;Name: ;fehlende / zu wenige Lehrinhalte; Id: ;39; Support: ;70;relativer Support;14%
Regel;;Name: ;fehlendes Vorwissen; Id: ;40; Support: ;70;relativer Support;14%
Regel;;Name: ;geringes Engagement des Dozenten; Id: ;41; Support: ;73;relativer Support;14.6%
Regel;;Name: ;hohe Stoffmenge / hohes Tempo; Id: ;42; Support: ;212;relativer Support;42.4%
Regel;;Name: ;"kein erkennbarer ""Roter Faden"" in der Lehrveranstaltung"; Id: ;45; Support: ;120;relativer Support;24%
Regel;;Name: ;keine (vollständigen) Arbeitsmaterialien; Id: ;46; Support: ;65;relativer Support;13%
Regel;;Name: ;keine geforderte Aktivität der Studierenden; Id: ;48; Support: ;32;relativer Support;6.4%
Regel;;Name: ;keine Prüfungsvorbereitung / -schwerpunkte; Id: ;50; Support: ;125;relativer Support;25%
Regel;;Name: ;schlechte Passung zu anderen Lehrveranstaltungen; Id: ;52; Support: ;49;relativer Support;9.8%
Regel;;Name: ;schwaches eigenes Engagement; Id: ;53; Support: ;75;relativer Support;15%
Regel;;Name: ;späte Bereitstellung der Unterlagen; Id: ;54; Support: ;75;relativer Support;15%
Regel;;Name: ;ungünstige Raumbedingungen; Id: ;55; Support: ;110;relativer Support;22%
Regel;;Name: ;ungünstige Veranstaltungszeit; Id: ;56; Support: ;72;relativer Support;14.4%
Regel;;Name: ;unstrukturierte Arbeitsmaterialien; Id: ;57; Support: ;47;relativer Support;9.4%
Regel;;Name: ;unübersichtliche / Überfüllte Visualisierung; Id: ;58; Support: ;76;relativer Support;15.2%
Regel;;Name: ;angenehmes Tempo; Id: ;0; Support: ;45. ;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;45;relativer Support;9%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;45;relativer Support;9%;folgt: ;;Name: ;angenehmes Tempo; Id: ;0; Support: ;45;mit einer Confidence von;90.0%
aus: ;;Name: ;angenehmes Tempo; Id: ;0; Support: ;45;relativer Support;9%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;45;mit einer Confidence von;15.95744681%
Regel;;Name: ;angenehmes Tempo; Id: ;0; Support: ;40. ;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;40;relativer Support;8%
aus: ;;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;40;relativer Support;8%;folgt: ;;Name: ;angenehmes Tempo; Id: ;0; Support: ;40;mit einer Confidence von;80.0%
aus: ;;Name: ;angenehmes Tempo; Id: ;0; Support: ;40;relativer Support;8%;folgt: ;;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;40;mit einer Confidence von;16.666666669999998%
Regel;;Name: ;angenehmes Tempo; Id: ;0; Support: ;31. ;Name: ;verständliche Erklärungen; Id: ;29; Support: ;31;relativer Support;6.2%
aus: ;;Name: ;verständliche Erklärungen; Id: ;29; Support: ;31;relativer Support;6.2%;folgt: ;;Name: ;angenehmes Tempo; Id: ;0; Support: ;31;mit einer Confidence von;62.0%
aus: ;;Name: ;angenehmes Tempo; Id: ;0; Support: ;31;relativer Support;6.2%;folgt: ;;Name: ;verständliche Erklärungen; Id: ;29; Support: ;31;mit einer Confidence von;20.0%
Regel;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;35. ;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;35;relativer Support;7%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;35;relativer Support;7%;folgt: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;35;mit einer Confidence von;43.75%
aus: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;35;relativer Support;7%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;35;mit einer Confidence von;12.41134752%
Regel;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;30. ;Name: ;Arbeitsmaterialien (Skript. Lehrbuch); Id: ;3; Support: ;30;relativer Support;6%
aus: ;;Name: ;Arbeitsmaterialien (Skript. Lehrbuch); Id: ;3; Support: ;30;relativer Support;6%;folgt: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;30;mit einer Confidence von;37.5%
aus: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;30;relativer Support;6%;folgt: ;;Name: ;Arbeitsmaterialien (Skript. Lehrbuch); Id: ;3; Support: ;30;mit einer Confidence von;29.41176471%
Regel;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;30. ;Name: ;Kommunikation mit Dozenten; Id: ;13; Support: ;30;relativer Support;6%
aus: ;;Name: ;Kommunikation mit Dozenten; Id: ;13; Support: ;30;relativer Support;6%;folgt: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;30;mit einer Confidence von;37.5%
aus: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;30;relativer Support;6%;folgt: ;;Name: ;Kommunikation mit Dozenten; Id: ;13; Support: ;30;mit einer Confidence von;19.35483871%
Regel;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;50. ;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;50;relativer Support;10%
aus: ;;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;50;relativer Support;10%;folgt: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;50;mit einer Confidence von;62.5%
aus: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;50;relativer Support;10%;folgt: ;;Name: ;Übungen in der Vorlesung; Id: ;27; Support: ;50;mit einer Confidence von;20.833333330000002%
Regel;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;41. ;Name: ;hohe Stoffmenge / hohes Tempo; Id: ;42; Support: ;41;relativer Support;8.2%
aus: ;;Name: ;hohe Stoffmenge / hohes Tempo; Id: ;42; Support: ;41;relativer Support;8.2%;folgt: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;41;mit einer Confidence von;51.24999999999999%
aus: ;;Name: ;Anschauungsmaterial / Vorführungen; Id: ;1; Support: ;41;relativer Support;8.2%;folgt: ;;Name: ;hohe Stoffmenge / hohes Tempo; Id: ;42; Support: ;41;mit einer Confidence von;19.33962264%
Regel;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;72. ;Name: ;Arbeitsmaterialien (Skript. Lehrbuch); Id: ;3; Support: ;72;relativer Support;14.4%
aus: ;;Name: ;Arbeitsmaterialien (Skript. Lehrbuch); Id: ;3; Support: ;72;relativer Support;14.4%;folgt: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;72;mit einer Confidence von;25.531914890000003%
aus: ;;Name: ;Anwendungs- / Praxisbeispiele; Id: ;2; Support: ;72;relativer Support;14.4%;folgt: ;;Name: ;Arbeitsmaterialien (Skript. Lehrbuch); Id: ;3; Support: ;72;mit einer Confidence von;70.58823529%
