LV Nr,;Ablenkung durch eigene Technik;Ablenkung durch Lautstärke der Kommilitonen;abschweifende Diskussionen;Ausfall von Lehrveranstaltungen;Demotivierung / Einschüchterung der Studierenden;fehlende / mangelnde Anwendung und Praxis;fehlende / unverständliche Erklärungen;fehlende / zu wenige Lehrinhalte;fehlendes Vorwissen;geringes Engagement des Dozenten;hohe Stoffmenge / hohes Tempo;inhaltliche Fehler;irritierende Verhaltensweise des Dozenten;"kein erkennbarer ""Roter Faden"" in der Lehrveranstaltung";keine (vollständigen) Arbeitsmaterialien;keine / wenig visuelle Darstellung;keine geforderte Aktivität der Studierenden;keine Offenheit des Dozenten für Studierende;keine Prüfungsvorbereitung / -schwerpunkte;schlecht leserliche Visualisierung;schlechte Passung zu anderen Lehrveranstaltungen;schwaches eigenes Engagement;späte Bereitstellung der Unterlagen;ungünstige Raumbedingungen;ungünstige Veranstaltungszeit;unstrukturierte Arbeitsmaterialien;unübersichtliche / Überfüllte Visualisierung;zu große Gruppen;zu umfangreiche Arbeitsmaterialien
1;;;;;;0,1;;;;;;;;;;;;;;;;;;;0,5;;;;
2;;;0,5;;;0,5;;;;;1;;;;;;;;;;;;;1;1;;;;
3;;;0,1;;;1;;1;;;0,5;;;1;;;;;1;;0,5;;1;;;;;;
4;0,1;;;;;1;;;1;;0,5;;;;;;1;;;;;;;0,5;;1;0,5;;
5;;0,5;;;;;0,5;;;;0,1;;0,1;0,1;0,1;;;;;;;;;0,5;0,5;0,5;0,1;;
6;;0,5;;;;0,5;0,1;;;;0,1;;;0,1;0,1;;;;1;;0,1;;;1;;;;0,1;0,5
7;0,5;;;;;;;;0,5;;;;;;0,1;;;0,1;;;;1;;;;;0,1;;
8;;;;;;;0,5;;;0,1;0,5;;;;;;;;;;0,5;;;1;;0,1;0,1;0,5;
9;;0,1;;;;;;1;;;;;;;0,5;;0,1;;;;0,5;1;;;;;;;
10;;;;;;0,1;0,1;;;;0,5;;;0,5;0,5;;;;;;;;1;1;0,1;0,5;0,1;0,1;
11;;;;0,5;;;;;;;;;;1;1;0,1;;;;;;;;;;;0,5;;
12;;;;;;;;;;;0,5;;;;;;0,5;;;;;;1;;0,1;;;;0,5
13;;;;;;;0,5;0,5;;;0,1;1;;0,5;;;;;;;1;;;;;;1;;
14;;1;;;0,5;;0,5;;0,5;0,1;1;;;0,5;0,5;;;0,1;1;0,5;;;;1,5;;0,5;;;
